course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,category,tags,what_you_learn
Phụ nữ Lãnh đạo bằng Yêu thương,Vera Hà Anh,1.200.000,799.000,3734,4.7,7 phần,44 bài giảng,06 giờ 55 phút,hôn nhân và gia đình,"Tình yêu, Hạnh phúc gia đình, Đời sống vợ chồng, Hôn nhân gia đình","""Nguyên Tắc Vàng"" để giữ lửa trong tình yêu, giúp bạn chiếm hữu toàn bộ tâm trí chàng. ""Chìa khóa"" giải tỏa stress, mệt mỏi về những mâu thuẫn không đáng có. “Làm chủ Con Đường Tơ Lụa"" để nhanh chóng trở thành ""Nữ Hoàng Chăn Gối"" giúp bạn leo lên vị trí số 1 trong lòng chàng. ""Chuyên Gia Đọc Vị Tình Yêu"" để đủ bản lĩnh hóa giải mọi mâu thuẫn và làm chủ các mối quan hệ. ""Khám Phá Tử Huyệt Hạnh Phúc"" giúp cuộc hôn nhân của bạn bước sang một trang mới đầy thi vị. ""Sở hữu Chìa Khóa của Thành Công và Hạnh Phúc"" giúp bạn thăng hoa trong sự nghiệp và bền vững trong hôn nhân"
Hành trình 30 Ngày trở thành người cha truyền cảm hứng,Lương Thế Hưng,900.000,299.000,156,4.8,5 phần,34 bài giảng,03 giờ 36 phút,hôn nhân và gia đình,Phương pháp dạy con,"Nhìn nhận đúng về con người bạn và cách để bạn trở nên tuyệt vời hơn. Gỡ bỏ được những hành vi tiêu cực, những điềm đen trong quá khứ về việc nuôi dạy con. Trở thành người truyền cảm hứng trong học tập, cũng như trong mọi mặt của cuộc sống của con. Giúp con trở thành một người có lòng tự trọng, tự tin hơn trong học tập và trong cuộc sống"
Thấu hiểu tạo động lực cho con thế kỷ 21,Nguyễn Minh Khôi,800.000,299.000,81,5.0,4 phần,26 bài giảng,02 giờ 52 phút,hôn nhân và gia đình,Phương pháp dạy con,"Cha mẹ dễ dàng tương tác với con. Cha mẹ hiểu về năng lực của con theo 8 dạng thức thông minh. Cha mẹ nhận thức rõ phương pháp tạo sự tự tin cho con. Cha mẹ phát hiện được những gì con trẻ đang gặp phải để giải quyết.. Giúp con tránh xa những cạm bẫy, tệ nạn. Cha mẹ sẽ tự tin hơn trong việc giáo dục giúp con thể hiện bản lĩnh"
Giúp mẹ bầu vượt cạn trước và sau sinh,Nguyễn Ban Mai - Nguyễn Thị Minh,600.000,299.000,60,5.0,4 phần,33 bài giảng,04 giờ 04 phút,hôn nhân và gia đình,Mang Thai,Biết cách phòng tránh các căn bệnh thường gặp khi mang thai để bảo vệ sức khỏe của bạn và bé yêu. Chuẩn bị cho chính bạn và người thân một tâm lí tốt nhất khi chuẩn bị đón chào một thành viên mới. Thôi nghĩ vẩn vơ và lo âu để tránh trầm cảm. Tự tin vào chính mình và thiên thần của bạn sẽ là một màu sắc tươi mới cho cuộc sống hiện tại của gia đình nhỏ.. Những lưu ý cần thiết và những điều cần chuẩn bị trước và sau sinh. Tránh bị trầm cảm sau sinh
7 ngày trước cưới - hành trang cho cuộc sống hôn nhân,ThS. Đinh Thái Sơn,600.000,299.000,103,4.6,4 phần,25 bài giảng,02 giờ 17 phút,hôn nhân và gia đình,"Tình yêu, Hạnh phúc gia đình, Đời sống vợ chồng, Hôn nhân gia đình","Chuẩn bị tâm lý, tư tưởng vững vàng khi bước vào cuộc sống hôn nhân. Hoàn thiện bản thân nhiều hơn trong quan hệ vợ chồng, cũng như trong xã hội. Biết cách cương nhu để giữ lửa cho tình yêu cvà hôn nhân. Thấu hiểu tâm lý đối phương để cùng vượt qua khó khắn. Nắm được các nguyên tắc sống còn ứng xử trong hôn nhân. Nắm được các bí mật yêu đương cho cuộc sống vợ chồng mặn nồng"
Bí quyết Tán gái,Mai Tình yêu,700.000,299.000,940,4.4,4 phần,27 bài giảng,01 giờ 55 phút,hôn nhân và gia đình,"Tình yêu, Tán gái","Tiếp cận và chinh phục bất kì cô gái nào bằng những bí kíp tán gái. Kỹ năng giao tiếp tuyệt vời với phụ nữ. Lưu giữ ấn tượng và tạo sự hấp dẫn với đối phương. Thấu hiểu tâm lý phụ nữ trong mọi cuộc hẹn. Làm chủ các tình huống để nắm giữ trái tim của nàng. Quy luật chinh phục ""trăm trận trăm thắng"""
Nghệ thuật quyến rũ bạn đời,Mai Tình yêu,700.000,299.000,5561,4.4,4 phần,27 bài giảng,02 giờ 09 phút,hôn nhân và gia đình,"Tình yêu, Hôn nhân gia đình","Bí quyết để chinh phục, quyến rũ và mãi giữ chân được người đàn ông của mình. Biết cách khiến người đàn ông của mình luôn say đắm và yêu thương, nâng niu bạn. Biết chọn đối tượng phù hợp và loại bỏ những đối tượng không hợp với mình. Hình dung rõ được về đối tượng có phương pháp “thả mồi” cho phù hợp. Hiểu rõ về tâm lý của người đàn ông và dễ dàng quyến rũ họ. Tự tin làm chủ mọi tình huống, mọi không gian khi tiếp cận với chàng"
Phương pháp Montessori cho trẻ 0 - 6 tuổi,TS. Đinh Thanh Tuyến,800.000,299.000,518,4.2,4 phần,41 bài giảng,07 giờ 26 phút,hôn nhân và gia đình,Nuôi dạy con,"Trẻ được tìm hiểu về các lĩnh vực Tự nhiên, Xã hội và Nghệ thuật. Vận dụng hai ngôn ngữ tiếng Việt và tiếng Anh theo cách tự nhiên nhất.. Lĩnh hội kiến thức thông qua các giáo cụ quy chuẩn được thiết kế riêng biệt. Mang cho trẻ khả năng tự lập, ham học hỏi, yêu môi trường sống và giàu kiến thức. Giúp trẻ trở nên hoạt bát, biết quan tâm, chia sẻ với mọi người, có thể tự chăm sóc bản thân. Khả năng nhớ và tiếp thu kiến thức cực nhanh giúp trẻ luôn muốn tìm tòi, học hỏi điều mới"
Giáo dục lòng tự trọng và tự tin cho trẻ,TS. Lại Thế Luyện,600.000,349.000,66,4.6,2 phần,30 bài giảng,03 giờ 07 phút,hôn nhân và gia đình,Phương pháp dạy con,"Hiểu được tầm quan trọng của lòng tự trọng đối với sự phát triển nhân cách của trẻ.. Vận dụng được các phương pháp cụ thể để giúp trẻ nuôi dưỡng lòng tự trọng.. Khích lệ trẻ tự tin, từ đó giúp trẻ gặt hái thành công trong học tập, nghề nghiệp và cuộc sống. Những công cụ và phương pháp giáo dục các phẩm chất nói trên vào việc giáo dục trẻ"
Thai giáo - Phát triển trí tuệ & cảm xúc cho con trong bụng mẹ,Phạm Thị Thúy,700.000,299.000,1030,4.3,2 phần,18 bài giảng,03 giờ 38 phút,hôn nhân và gia đình,"Thai giáo, Mang Thai","Kích hoạt các chức năng của não bộ trẻ ngay từ trong bụng mẹ thông qua các giác quan để trẻ nhanh hoàn thiện các năng lực và thông minh hơn.. Có 1 em bé thông minh, ngoan ngoãn khi chào đời ( tự lập, ít khóc đêm, vui tươi, sinh hoạt đúng giờ,...). Định hình tính cách, phẩm chất tốt đẹp cho trẻ từ trong tiềm thức. Bài tập thực hành cho các bà mẹ chăm thai nhi tốt hơn. Khoá học thai giáo online giúp thư giãn và giảm thiểu các rủi ro cho thai nhi khi mẹ stress. Tăng sự gắn kết tình cảm giữa Bố - Mẹ - Con"
