course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/yoga-tai-nha-phong-ngua-va-ho-tro-dieu-tri-xuong-khop,Yoga tại nhà - Phòng ngừa và hỗ trợ điều trị xương khớp,Nguyễn Thị Ngọc Diễm,800.000,299.000,308,4.5,6 phần,32 bài giảng,01 giờ 16 phút,"Cải thiện tình trạng sức khỏe liên quan đến xương khớp. Giảm tình trạng nhức mỏi, đau khớp do những tác động khách quan. Tăng tuần hoàn máu, tinh thần bạn sẽ trở nên thư thái hơn, giảm stress. Khắc phục được chứng mất ngủ do căng thẳng, áp lực công việc. Giúp cơ thể trở nên dẻo dai và săn chắc tăng năng suất làm việc. Cảm thấy yêu đời và yêu cuộc sống hơn mỗi ngày",Yoga
course_link,course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,what_you_learn,tags
https://unica.vn/nghe-thuat-trang-diem-ca-nhan-dep-tu-nhien,Nghệ thuật trang điểm cá nhân đẹp tự nhiên,Tân Nguyễn,700.000,299.000,3876,3.7,6 phần,28 bài giảng,00 giờ 56 phút,Không còn bối rối mỗi khi ra đường nên chọn phong cách nào cho phù hợp.. Tự mình trang điểm cho mình nổi bật hơn trong 1 bữa tiệc hay sự kiện. Không phải vất vả ngồi hàng giờ để chờ chuyên gia trang điểm giúp bạn.. Thay đổi các phong cách phù hợp bằng bí quyết của chuyên gia. Bắt kịp xu hướng trang điểm giúp bạn thời trang hơn. Bạn sẽ thay đổi chính mình khi học được cách biến hóa bản thân đến hoàn hảo,Trang điểm
https://unica.vn/yoga-cho-than-khoe-tam-an,"Yoga cho Thân Khỏe, Tâm An ",Milena Nguyễn,700.000,299.000,137,4.7,7 phần,31 bài giảng,03 giờ 57 phút,Cảm nhận chuyển biến tích cực về thể chất lẫn tinh thần. Làm việc hiệu quả và tận hưởng cuộc sống. Năng lượng dồi dào trong cơ thể. Tỉnh táo tâm trí. Cảm xúc tích cực. Kết nối với tiếng nói nội tại,Yoga
https://unica.vn/yoga-tang-cuong-sinh-ly,36 Thế Yoga tăng cường sinh lý,Nguyễn Hiếu,700.000,299.000,321,4.9,7 phần,49 bài giảng,05 giờ 41 phút,Nắm được 36 thế Yoga giúp tăng cường sinh lý. Cải thiện hạnh phúc gia đình. Lấy lại cân bằng cho cuộc sống. Cải thiện sinh lý tự nhiên mà không cần thuốc. Đời sống hôn nhân trở nên viên mãn và thăng hoa hơn. Cơ thể được thanh lọc để trở nên linh loạt và quyến rũ hơn.,Yoga
https://unica.vn/yoga-co-ban-ngay-tai-nha,Tập Yoga cơ bản ngay tại nhà với Nguyễn Hiếu,Nguyễn Hiếu,700.000,299.000,7133,4.2,17 phần,32 bài giảng,07 giờ 23 phút,"Sở hữu dáng đẹp eo thon như mong muốn. Rèn luyện tâm trí, an nhiên trong cuộc sống. Giải độc cơ thể, giảm stress hiệu quả. Tăng cường sức khỏe, đẩy lùi bệnh tật. Học online không cần đến phòng tập",Yoga
https://unica.vn/massage-duong-sinh-dau-vai-gay, Massage dưỡng sinh Đầu - Vai - Gáy,Tina Đỗ,700.000,299.000,209,4.6,4 phần,24 bài giảng,01 giờ 13 phút,"Nắm rõ kiến thức chuyên môn của phương pháp massage dưỡng sinh đầu- vai- gáy. Hiểu được giá trị thiết thực của Massage đầu – vai – gáy đối với đời sống sức khỏe. Nhanh chóng giải tỏa những áp lực, stress của công việc và cuộc sống.. Chi tiết động tác ấn trên các điểm năng lượng, trên các vùng cơ đầu, cổ, vai, gáy. Hiểu được thông điệp yêu thương, chia sẻ, sự đồng cảm với người khác qua từng kỹ thuật. Nghệ thuật của thông điệp yêu thương với người thân và giữa con người với con người","Sức khoẻ, Massage - Trị liệu"
https://unica.vn/dep-tu-trong-ra-ngoai,Bí quyết trẻ đẹp từ trong ra ngoài,Vũ Ngọc Hoa,700.000,199.000,141,4.7,9 phần,30 bài giảng,03 giờ 31 phút,"Trở lên đẹp và vững chắc từ bên trong, biết cách đối mặt và vượt qua những thách thức trong cuộc sống.. Thấy rõ giá trị bản thân, biết yêu bản thân mình hơn, chăm sóc bản thân tốt hơn. Biết cách quản lí cảm xúc của mình để tránh lời nói và hành động gây hậu quả đáng tiếc. Biết cách lắng nghe và nói những lời nói phù hợp đi vào trái tim của người khác. Biết cách tự bảo vệ bản thân và tinh thần của mình, xây dựng sức mạnh của bản thân. Biết cách xây dựng mục tiêu cuộc đời và cách thức đạt được mục tiêu",Làm đẹp
https://unica.vn/25-cach-lam-dep-da-trang-sang-tri-mun,"25 Cách làm đẹp da, trắng sáng, trị mụn",Đỗ Minh Hà,600.000,299.000,1288,4.5,4 phần,32 bài giảng,03 giờ 05 phút,"Hiểu được tầm quan trọng của việc chăm sóc đúng quy trình với làn da của bạn. Biết cách tự làm đẹp tại nhà đơn giản hiệu quả, không tốn thời gian. Nắm được kiến thức về làm đẹp, chăm sóc da, thẩm mỹ. Không cân lo lắng về tác dụng phụ của các loại hóa chất mỹ phẩm. Biết cách làm đẹp da, trị mụn từ nguyên liệu thiên nhiên. Biết cách sử dụng cách nguyên liệu tự nhiên phù hợp với làn da mang lại hiểu quả tốt nhất. Lựa chọn sản phẩm chăm sóc da phù hợp với da mặt",Làm đẹp
https://unica.vn/yoga-bau-me-khoe-manh-con-an-nhien,"Yoga bầu - Mẹ khỏe mạnh, con an nhiên",Thu Mint,700.000,299.000,1399,4.6,5 phần,27 bài giảng,04 giờ 52 phút,"Phòng tránh các bệnh thường gặp ở bà bầu như chuột rút, đau lưng, đau cơ xương chậu.. Tăng cường sức khỏe sức đề kháng, làm mềm mại khớp háng, xương chậu giúp dễ sinh nở, tăng cường sức bền, sự dẻo dai.. Cách thả lỏng cơ thể để chuẩn bị tâm lý, giúp giảm đau và thoải mái hơn khi sinh nở.. Tránh phù nề, béo phì, tích tụ mỡ thừa trong quá trình mang thai, tăng cân quá nhiều trong quá trình mang thai.. Cách massage thư giãn cho bà bầu, giúp người chồng/người cha kết nối với người vợ/ người mẹ và con yêu sắp chào đời.. Điều chỉnh cảm xúc cho mẹ bầu giảm căng thẳng, hay tránh trầm cảm, lo âu , sợ hãi, và cô đơn.","Yoga, Yoga bầu"
https://unica.vn/bi-quyet-giup-nguoi-can-thi-2-4-do-cai-thien-thi-luc,Bí quyết giúp người cận thị 2 - 4 độ cải thiện thị lực,Nguyễn Thủy,1.000.000,299.000,336,4.9,16 phần,68 bài giảng,05 giờ 08 phút,"Nắm được thói quen sinh hoạt hàng ngày tốt cho mắt. Biết cách suy nghĩ và nói những điều tích cực cho đôi mắt. Biết nguyên nhân gây ra tật khúc xạ cho mắt và cách cải thiện. Biết cách làm cho đôi mặt linh hoạt và hết dại mắt. Sở hữu những cách đơn giản, đáng kinh ngạc để cải thiện thị lực. Lấy lại sự tự tin với đôi mắt khỏe đẹp một cách tự nhiên",Sức khoẻ
https://unica.vn/bi-mat-thien-ung-dung-thay-doi-cuoc-doi,Bí mật Thiền ứng dụng thay đổi cuộc đời,Nguyễn Hiếu,700.000,279.000,6511,4.4,9 phần,25 bài giảng,07 giờ 53 phút,"Giải tỏa căng thẳng, lo lắng, mang lại lợi ích tuyệt vời cho sức khỏe thể chất lẫn tinh thần. Giảm các cơn đau, đặc biệt tốt với những người bệnh huyết áp, tim mạch, nhiễm trùng. Xua tan những ý nghĩ tiêu cực, giữ tinh thần lạc quan, có cái nhìn tích cực về cuộc sống. Giữ trạng thái cân bằng trong cơ thể, giúp bạn làm chủ bản thân trong các tình huống. Giúp cải thiện giấc ngủ nhờ những bài học Thiền bổ ích","Yoga - Thiền, Giảm stress, Thiền"
https://unica.vn/yoga-tai-nha-phong-ngua-va-ho-tro-dieu-tri-xuong-khop,Yoga tại nhà - Phòng ngừa và hỗ trợ điều trị xương khớp,Nguyễn Thị Ngọc Diễm,800.000,299.000,308,4.5,6 phần,32 bài giảng,01 giờ 16 phút,"Cải thiện tình trạng sức khỏe liên quan đến xương khớp. Giảm tình trạng nhức mỏi, đau khớp do những tác động khách quan. Tăng tuần hoàn máu, tinh thần bạn sẽ trở nên thư thái hơn, giảm stress. Khắc phục được chứng mất ngủ do căng thẳng, áp lực công việc. Giúp cơ thể trở nên dẻo dai và săn chắc tăng năng suất làm việc. Cảm thấy yêu đời và yêu cuộc sống hơn mỗi ngày",Yoga
https://unica.vn/massage-toan-than-phuc-hoi-va-tri-lieu,Massage toàn thân - Phục hồi và Trị liệu,Bác sĩ Lê Hải,700.000,299.000,1547,4.4,4 phần,34 bài giảng,03 giờ 40 phút,"Giảm căng cứng, giảm nhức mỏi, thư giãn cơ bắp. Tăng cường tuần hoàn máu toàn cơ thể. Giảm đau nửa đầu, đau các khớp. Tăng cường tính linh hoạt, cải thiện vận động. Hỗ trợ hồi phục hậu phẫu, các dạng chấn thương. Giảm trầm cảm, giải tỏa áp lực tâm lý. Tiêu trừ, thải độc tốt, tăng cường hệ miễn dịch, phòng ngừa bệnh tim mạnh, ung thư. Cải thiện làn da, giúp da mềm mại, săn chắc, tươi tắn, khỏe khoắn. Cải thiện sự dẻo dai của cơ bắp, tiêu trừ mỡ thừa, cho vóc dáng thon gọn. Cải thiện sắc tố da tươi tắn, đồng đều","Sức khoẻ, Massage - Trị liệu"
https://unica.vn/yoga-giam-eo-giu-dang,Yoga giảm eo giữ dáng,Nguyễn Hiếu,700.000,479.000,6679,4.1,14 phần,29 bài giảng,06 giờ 58 phút,"Các tư thế yoga giảm eo giữ dáng sẽ giúp đánh tan mỡ bụng. Các bài tập yoga làm thon gọn vòng eo. Các bài tập tạo form toàn thân, tuần hoàn khí huyết. Cơ thể khỏe mạnh, vóc dáng chuẩn đẹp, vòng eo thon gọn, cuốn hút","Giảm cân, Yoga"
https://unica.vn/yoga-tang-cuong-sinh-ly-cho-nam,"Yoga tăng cường sinh lý, giãn cơ, giảm stress dành cho nam giới",Alex Vinh,600.000,499.000,380,4.9,6 phần,20 bài giảng,05 giờ 14 phút,"Hoàn thiện, sức mạnh, sức bền, độ dẻo.. Khỏe toàn diện về cả thân thể và tâm trí.. Giảm stress,tăng cường tình trạng sức khỏe, mạnh mẽ về tinh thần. Đảm bảo hạnh phúc gia đình, đời sống vợ chồng viên mãn. Giúp các triệu chứng về tiêu hoá, hệ hô hấp hệ tuần hoàn đều tiêu biến hết. Sức khoẻ, sinh lý được tăng cường",Yoga
https://unica.vn/yoga-30-ngay-con-nguoi-moi-toan-dien-trong-ngoai,"Yoga 30 ngày, con người mới - toàn diện trong ngoài",Alex Vinh,700.000,299.000,553,4.8,4 phần,30 bài giảng,05 giờ 28 phút,Giúp bạn hiểu sâu về cơ thể mình hơn. Tâm trí bạn sẽ trở nên sảng khoái và yêu đời hơn. Cải thiện sức khoẻ và cuộc sống cá nhân một cách sâu sắc. Trở thành một con người hoàn toàn mới,Yoga
https://unica.vn/bi-mat-body-trieu-nguoi-me,Bí mật BODY triệu người mê,Phạm Duy Khánh,600.000,299.000,160,4.7,5 phần,23 bài giảng,01 giờ 31 phút,"Tự bạn có thể tập luyện ngay tại nhà, hay ở GYM Club mà không cần mất chi phí mua PT. Xây dựng được phong cách tập khỏe, đúng chuẩn phong cách, thân hình quyến rũ.. Có kiến thức đứng đầu về tập luyện và dinh dưỡng, hiểu rõ về cơ thể của bản thân. Tiết kiệm thời gian cho chính bạn thay vì bạn phải tổng hợp một sa mạc kiến thức mênh mông trên internet. Tự tin diện những bộ đồ bó sát, theo sát xu hướng thời trang. Xây dựng thân hình đẹp, lôi cuốn, tự tin trước mọi người","Giảm cân, Fitness - Gym"
https://unica.vn/yoga-chua-benh-tri-lieu-cho-cot-song,Yoga chữa bệnh trị liệu cho cột sống,Nguyễn Hiếu,700.000,299.000,3520,4.5,10 phần,20 bài giảng,04 giờ 56 phút,"Phòng và chữa các bệnh về đau cột sống, đốt sống cổ….. Hỗ trợ chưa trị các chứng bệnh về cột sống. Chế độ dinh dưỡng và luyện tập phù hợp. Xương khớp dẻo dai, cơ thể khỏe mạnh","Yoga, Yoga trị liệu"
https://unica.vn/ung-dung-thien-giup-tre-tap-trung-va-tang-cuong-suc-khoe,Ứng dụng thiền giúp trẻ tập trung và tăng cường sức khỏe,Võ Thị Minh Huệ,600.000,299.000,109,4.6,6 phần,32 bài giảng,01 giờ 58 phút,"Thực hành thiền đơn giản, đúng kỹ thuật cho trẻ em. Giúp các em bình tĩnh và phát triển sự tập trung tâm trí.. Giúp các em hiểu chính mình và sự hoạt động của tâm trí.. Các em làm chủ được những cơn bốc đồng và hành động của mình. Cải thiện được các mối quan hệ trong gia đình, nhà trường, và giữa bạn bè.. Các em phát huy sức mạnh nội tâm giúp mình chọn hành động đúng và phù hợp. Phụ huynh thiền cùng con và định hướng con phát triển tâm hồn, sức khỏe một cách toàn diện hơn.. Giáo viên có thể tổ chức hướng dẫn các lớp thiền và trẻ có thể tự thực hành thiền cá nhân hoặc theo nhóm, theo lớp..",Thiền
https://unica.vn/dinh-duong-an-toan-cho-nguoi-giam-can,Dinh dưỡng an toàn cho người giảm cân,Đậu Thị Nhung,600.000,299.000,385,4.7,5 phần,26 bài giảng,01 giờ 46 phút,"Biết cách ăn uống lành mạnh để đẹp từ bên trong và bên ngoài.. Sở hữu những công thức giảm cân nhanh, an toàn. Tự tin khi có vóc dáng đẹp, quyến rũ. Chế độ ăn khoa học, phù hợp với thể trạng","Giảm cân, Dinh dưỡng"
https://unica.vn/yoga-tri-lieu-cot-song,Yoga trị liệu cột sống,Trần Thế Long,700.000,299.000,674,4.9,10 phần,30 bài giảng,02 giờ 22 phút,"Khả năng tự trị liệu cho bản thân, tự rèn luyện để có một cơ thể linh hoạt. Rèn luyện cột sống khỏe mạnh, ngăn ngừa các bệnh về xương khớp. Giải phóng các cơ và cột sống khỏi tình trạng đau nhức, không cần đến sự hỗ trợ của người khác hay máy móc. Sức khỏe tự nhiên hoàn hảo, có khả năng tự phục hồi mà không cần lệ thuộc quá nhiều vào thuốc. Giúp tinh thần sảng khoái, xả stress, cơ thể luôn tràn đầy năng lượng. Rèn luyện sức bền, sự dẻo dai","Yoga, Yoga trị liệu"
https://unica.vn/yoga-giu-gin-net-thanh-xuan-danh-thuc-su-quyen-ru,Yoga giữ gìn nét thanh xuân - Đánh thức sự quyến rũ, Nguyễn Thị Bích Ngọc,800.000,299.000,73,4.9,3 phần,36 bài giảng,03 giờ 00 phút,"Tăng cường và duy trì độ mềm dẻo của cột sống.. Củng cố và thanh xuân hóa hệ thần kinh.. Tẩy sạch và tăng cường kinh lạc, tăng cường năng lượng khí trong cơ thể.. Đánh thức năng lượng tiềm ẩn trong bạn, gìn giữ tuổi thanh xuân kéo dài tuổi trẻ.. Duy trì nét xuân đôi mươi.. Sức khỏe duy trì ổn định và mạnh khỏe.",Yoga
